priority,canonical_id,domain,vi_standard,vi_aliases,en_standard,review_question,source_url
P1,C0014,safety_general,giấy phép làm việc,work permit|PTW,permit to work,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0015,safety_general,khóa cô lập năng lượng,khóa LOTO,lockout device,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0016,safety_general,thẻ cảnh báo LOTO,thẻ LOTO,tagout tag,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0017,safety_general,sơ cứu,,first aid,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0018,safety_general,cáng cứu thương,cáng,stretcher,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0019,fall_scaffold,dây đai toàn thân,dây an toàn|dây đai an toàn,full-body harness,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P0,C0020,fall_scaffold,dây cứu sinh,dây lifeline,lifeline,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P0,C0021,fall_scaffold,móc an toàn,móc dây an toàn,snap hook,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P0,C0022,fall_scaffold,điểm neo,điểm móc neo,anchorage point,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P0,C0023,fall_scaffold,lan can bảo vệ,lan can an toàn,guardrail,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P1,C0024,fall_scaffold,tấm chắn chân,ván chắn chân,toe board,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P0,C0025,fall_scaffold,lưới an toàn,lưới hứng,safety net,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P0,C0026,fall_scaffold,giàn giáo,dàn giáo,scaffold,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0027,fall_scaffold,sàn công tác,mâm giàn giáo|platform,work platform,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P1,C0028,fall_scaffold,thang tiếp cận,thang lên xuống,access ladder,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P0,C0029,fall_scaffold,lỗ mở sàn,lỗ sàn,floor opening,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0030,fall_scaffold,mép sàn hở,mép hở,unprotected edge,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0031,fall_scaffold,mặt bằng làm việc trên cao,khu vực trên cao,elevated work area,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0032,fall_scaffold,thẻ giàn giáo,thẻ scaffold,scaffold tag,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0033,fall_scaffold,chân kích giàn giáo,chân kích,scaffold jack,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P1,C0034,fall_scaffold,giằng chéo,giằng chéo giàn giáo,cross brace,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P0,C0035,fall_scaffold,ván sàn giàn giáo,ván sàn,scaffold plank,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P0,C0036,fall_scaffold,điểm buộc giàn giáo,điểm neo giàn giáo,scaffold tie,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/scaffolding/construction
P0,C0037,excavation,hố đào,hố móng,excavation,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0038,excavation,rãnh đào,rãnh,trench,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0039,excavation,mép hố đào,mép hố,excavation edge,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/trenching/
P0,C0040,excavation,thành hố đào,thành hố,excavation face,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0041,excavation,chống vách,hệ chống vách,shoring,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0042,excavation,hộp chống sập,trench box|hộp chống hố,trench shield,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P1,C0043,excavation,taluy bậc,đào giật cấp,benching system,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P1,C0044,excavation,taluy dốc,đào mái dốc,sloping system,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/trenching/
P1,C0045,excavation,đất đào,đất thải,spoil,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0046,excavation,sạt lở,sạt hố|sập thành hố,cave-in,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P1,C0047,excavation,nước đọng trong hố,nước trong hố,standing water in excavation,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/trenching/
P0,C0048,excavation,khí quyển nguy hiểm,khí độc trong hố,hazardous atmosphere,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0049,excavation,đường điện ngầm,cáp điện ngầm,underground power line,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/trenching/
P0,C0050,excavation,đường ống ngầm,utility ngầm,underground utility line,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/trenching/
P1,C0051,excavation,thang xuống hố,thang hố đào,access ladder,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/trenching/
P1,C0052,excavation,lối ra vào hố,lối xuống hố,safe access and egress,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/trenching/
P1,C0053,excavation,máy bơm thoát nước,bơm hố móng,dewatering pump,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0054,excavation,cọc chống,cọc chống vách,shoring post,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0056,concrete_rebar_formwork,bê tông tươi,bê tông thương phẩm,fresh concrete,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.700
P1,C0057,concrete_rebar_formwork,cốt thép,thép cốt,reinforcing steel,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.700
P1,C0058,concrete_rebar_formwork,thanh cốt thép,thép cây,rebar,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.700
P0,C0059,concrete_rebar_formwork,cốp pha,cốt pha|ván khuôn,formwork,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.700
P0,C0060,concrete_rebar_formwork,cây chống,cột chống,shore,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0061,concrete_rebar_formwork,chống lại,cây chống lại,reshore,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P1,C0064,concrete_rebar_formwork,sàn bê tông,sàn,concrete slab,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0065,concrete_rebar_formwork,móng,móng công trình,foundation,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0066,concrete_rebar_formwork,lớp bê tông bảo vệ,lớp bảo vệ,concrete cover,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0067,concrete_rebar_formwork,cao độ đổ bê tông,cao độ bê tông,concrete pour elevation,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0068,concrete_rebar_formwork,mạch ngừng,mạch ngừng bê tông,construction joint,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0069,concrete_rebar_formwork,máy đầm dùi,đầm dùi,concrete vibrator,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0070,concrete_rebar_formwork,máy bơm bê tông,bơm bê tông,concrete pump,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0071,concrete_rebar_formwork,ống bơm bê tông,ống bơm,concrete delivery hose,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0072,concrete_rebar_formwork,con kê bê tông,con kê,rebar spacer,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0073,lifting_rigging,cần cẩu,cẩu,crane,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0074,lifting_rigging,cần chính,cần boom,boom,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0075,lifting_rigging,móc cẩu,móc,lifting hook,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0076,lifting_rigging,dây cẩu,sling|dây sling,lifting sling,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0077,lifting_rigging,cáp thép,cáp cẩu,wire rope,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0078,lifting_rigging,ma ní,shackle|ma ni,shackle,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0079,lifting_rigging,pa lăng,palang,hoist,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0080,lifting_rigging,chân chống cẩu,chân chống,outrigger,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0081,lifting_rigging,tải treo,hàng treo,suspended load,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0082,lifting_rigging,bán kính quay,vùng quay đuôi,swing radius,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0083,lifting_rigging,người báo hiệu,signalman|người xi nhan,signal person,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0084,lifting_rigging,người móc cẩu,thợ rigging,rigger,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0085,lifting_rigging,góc dây cẩu,góc sling,sling angle,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0086,lifting_rigging,tải trọng làm việc an toàn,SWL,safe working load,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0087,lifting_rigging,tải trọng định mức,rated capacity,rated load,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0088,lifting_rigging,điểm nâng,tai cẩu,lifting point,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0089,lifting_rigging,thanh cân bằng,spreader,spreader beam,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0090,lifting_rigging,dây điều hướng,dây lái tải,tag line,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0091,heavy_equipment,máy xúc,xe cuốc,excavator,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0092,heavy_equipment,máy ủi,xe ủi,bulldozer,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0093,heavy_equipment,xe nâng,forklift,forklift,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0094,heavy_equipment,xe ben,xe tải ben,dump truck,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0095,heavy_equipment,xe lu,máy lu,road roller,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0096,heavy_equipment,máy san,grader,motor grader,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0099,heavy_equipment,gầu xúc,gầu,bucket,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0100,heavy_equipment,lưỡi ủi,lưỡi ben,dozer blade,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0101,heavy_equipment,còi lùi,còi báo lùi,reverse alarm,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0102,heavy_equipment,điểm mù,góc chết,blind spot,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P0,C0103,heavy_equipment,khu vực quay máy,vùng quay máy,equipment swing area,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0104,heavy_equipment,phanh đỗ,phanh tay,parking brake,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0105,heavy_equipment,chốt an toàn,chốt khóa,safety pin,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0106,heavy_equipment,đường công vụ,đường nội bộ,haul road,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0107,heavy_equipment,người hướng dẫn xe,người cảnh giới xe,spotter,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/training/outreach/construction/focus-four
P1,C0108,heavy_equipment,điểm rửa bánh xe,cầu rửa xe,wheel wash station,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0109,electrical,cầu dao tự động,CB|aptomat|áp tô mát,circuit breaker,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0110,electrical,tủ điện,tủ điện công trường,electrical panel,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0111,electrical,dây dẫn điện,dây điện,electrical conductor,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0112,electrical,dây pha,dây nóng,live conductor,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P1,C0113,electrical,dây trung tính,dây nguội,neutral conductor,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0114,electrical,dây tiếp địa,dây nối đất,grounding conductor,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0115,electrical,nối đất,tiếp địa,grounding,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0116,electrical,ngắn mạch,chập điện,short circuit,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0117,electrical,chạm đất,lỗi chạm đất,ground fault,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0118,electrical,quá tải,,overload,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0119,electrical,điện áp,điện thế,voltage,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P1,C0120,electrical,dòng điện,ampe,current,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P0,C0121,electrical,máy biến áp,biến áp,transformer,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/etools/construction/glossary
P1,C0122,electrical,máy phát điện,máy phát,generator,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0123,electrical,cáp điện,dây cáp điện,power cable,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0124,electrical,đầu cốt cáp,đầu cos|cos cáp,cable lug,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0125,electrical,rơ le,relay,relay,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0126,electrical,khóa liên động,interlock,interlock,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0127,mechanical,vòng bi,bạc đạn,bearing,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0128,mechanical,ổ trục thanh truyền,bạc biên|bạc dên,connecting rod bearing,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0129,mechanical,dây đai truyền động,dây curoa|dây cua-roa,drive belt,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0135,mechanical,phớt làm kín,phớt,seal,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0136,mechanical,bu lông,bulông|bu lon,bolt,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0137,mechanical,đai ốc,ê-cu|ecu,nut,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0138,mechanical,ống thủy lực,tuy ô thủy lực|tuy-ô thủy lực,hydraulic hose,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0139,mechanical,dầu thủy lực,nhớt thủy lực,hydraulic oil,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0140,mechanical,rò dầu,rỉ dầu,oil leak,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0141,mechanical,rò nhớt,rỉ nhớt,engine oil leak,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0142,mechanical,két làm mát,két nước,radiator,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0143,mechanical,ống xả,ống bô|ống pô,exhaust pipe,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0144,mechanical,bộ lọc,lọc,filter,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0145,welding_hotwork,máy hàn,máy hàn điện,welding machine,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P1,C0146,welding_hotwork,que hàn,que điện,welding electrode,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P1,C0152,welding_hotwork,xỉ hàn,xỉ,welding slag,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P1,C0153,welding_hotwork,bắn tóe hàn,tia hàn,weld spatter,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P0,C0154,welding_hotwork,mặt nạ hàn,mặt nạ,welding helmet,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P0,C0155,welding_hotwork,bình khí,bình gas,gas cylinder,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P0,C0156,welding_hotwork,bình oxy,bình ô-xy,oxygen cylinder,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P0,C0157,welding_hotwork,van điều áp,regulator,gas regulator,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P1,C0158,welding_hotwork,mỏ hàn,torch,welding torch,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P0,C0159,welding_hotwork,cắt oxy-gas,cắt gió đá,oxy-fuel cutting,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P0,C0160,welding_hotwork,ống dẫn khí,dây hơi,gas hose,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P0,C0161,welding_hotwork,van bình khí,van bình,cylinder valve,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P1,C0162,welding_hotwork,tấm chắn hàn,màn chắn hàn,welding screen,"Confirm terminology, local slang, and context-specific English translation.",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.350
P1,C0163,piping_plumbing,ống cấp nước,ống nước,water supply pipe,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0164,piping_plumbing,ống thoát nước,ống thoát,drain pipe,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0166,piping_plumbing,ống thép mạ kẽm,ống GI,galvanized steel pipe,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0169,piping_plumbing,van một chiều,van 1 chiều,check valve,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0170,piping_plumbing,cút 90 độ,co 90,90-degree elbow,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0171,piping_plumbing,tê ống,tê,pipe tee,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0172,piping_plumbing,măng sông,nối ống thẳng,coupling sleeve,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0173,piping_plumbing,đồng hồ áp suất,đồng hồ áp,pressure gauge,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0174,piping_plumbing,rò nước,xì nước,water leak,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P0,C0175,piping_plumbing,rò khí,xì gas|xì khí,gas leak,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
P1,C0178,piping_plumbing,giá đỡ ống,support ống,pipe support,"Confirm terminology, local slang, and context-specific English translation.",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388
