minimal_pair_id,contrast_type,domain,a_vi,a_en,b_vi,b_en,critical_fields,synthetic,review_status
MP0119,number,lifting_rigging,Di chuyển tải trọng làm việc an toàn 50 mét.,Move the safe working load 50 meters.,Di chuyển tải trọng làm việc an toàn 200 mét.,Move the safe working load 200 meters.,number;unit,True,needs_domain_expert_review
MP0120,number,heavy_equipment,Di chuyển xe lu 20 mét.,Move the road roller 20 meters.,Di chuyển xe lu 10 mét.,Move the road roller 10 meters.,number;unit,True,needs_domain_expert_review
MP0121,number,lifting_rigging,Di chuyển người móc cẩu 50 xen-ti-mét.,Move the rigger 50 centimeters.,Di chuyển người móc cẩu 30 xen-ti-mét.,Move the rigger 30 centimeters.,number;unit,True,needs_domain_expert_review
MP0122,number,lifting_rigging,Di chuyển móc cẩu 100 mét.,Move the lifting hook 100 meters.,Di chuyển móc cẩu 10 mét.,Move the lifting hook 10 meters.,number;unit,True,needs_domain_expert_review
MP0123,number,heavy_equipment,Di chuyển máy đào bánh xích 100 mét.,Move the crawler excavator 100 meters.,Di chuyển máy đào bánh xích 50 mét.,Move the crawler excavator 50 meters.,number;unit,True,needs_domain_expert_review
MP0124,number,lifting_rigging,Di chuyển ma ní 20 mi-li-mét.,Move the shackle 20 millimeters.,Di chuyển ma ní 10 mi-li-mét.,Move the shackle 10 millimeters.,number;unit,True,needs_domain_expert_review
MP0125,number,heavy_equipment,Di chuyển xe nâng 20 xen-ti-mét.,Move the forklift 20 centimeters.,Di chuyển xe nâng 100 xen-ti-mét.,Move the forklift 100 centimeters.,number;unit,True,needs_domain_expert_review
MP0126,number,lifting_rigging,Di chuyển cần chính 20 mi-li-mét.,Move the boom 20 millimeters.,Di chuyển cần chính 50 mi-li-mét.,Move the boom 50 millimeters.,number;unit,True,needs_domain_expert_review
MP0127,number,heavy_equipment,Di chuyển máy đào bánh lốp 50 xen-ti-mét.,Move the wheeled excavator 50 centimeters.,Di chuyển máy đào bánh lốp 20 xen-ti-mét.,Move the wheeled excavator 20 centimeters.,number;unit,True,needs_domain_expert_review
MP0128,number,lifting_rigging,Di chuyển tải trọng định mức 100 xen-ti-mét.,Move the rated load 100 centimeters.,Di chuyển tải trọng định mức 30 xen-ti-mét.,Move the rated load 30 centimeters.,number;unit,True,needs_domain_expert_review
MP0129,number,lifting_rigging,Di chuyển người móc cẩu 200 mi-li-mét.,Move the rigger 200 millimeters.,Di chuyển người móc cẩu 10 mi-li-mét.,Move the rigger 10 millimeters.,number;unit,True,needs_domain_expert_review
MP0130,number,heavy_equipment,Di chuyển xe lu 30 xen-ti-mét.,Move the road roller 30 centimeters.,Di chuyển xe lu 200 xen-ti-mét.,Move the road roller 200 centimeters.,number;unit,True,needs_domain_expert_review
MP0131,number,heavy_equipment,Di chuyển còi lùi 10 xen-ti-mét.,Move the reverse alarm 10 centimeters.,Di chuyển còi lùi 20 xen-ti-mét.,Move the reverse alarm 20 centimeters.,number;unit,True,needs_domain_expert_review
MP0132,number,heavy_equipment,Di chuyển chốt an toàn 200 mét.,Move the safety pin 200 meters.,Di chuyển chốt an toàn 100 mét.,Move the safety pin 100 meters.,number;unit,True,needs_domain_expert_review
MP0133,number,lifting_rigging,Di chuyển tải treo 30 xen-ti-mét.,Move the suspended load 30 centimeters.,Di chuyển tải treo 20 xen-ti-mét.,Move the suspended load 20 centimeters.,number;unit,True,needs_domain_expert_review
MP0134,number,lifting_rigging,Di chuyển tải treo 200 mi-li-mét.,Move the suspended load 200 millimeters.,Di chuyển tải treo 30 mi-li-mét.,Move the suspended load 30 millimeters.,number;unit,True,needs_domain_expert_review
MP0135,number,heavy_equipment,Di chuyển máy xúc 50 mét.,Move the excavator 50 meters.,Di chuyển máy xúc 200 mét.,Move the excavator 200 meters.,number;unit,True,needs_domain_expert_review
MP0136,number,heavy_equipment,Di chuyển xe ben 50 mi-li-mét.,Move the dump truck 50 millimeters.,Di chuyển xe ben 10 mi-li-mét.,Move the dump truck 10 millimeters.,number;unit,True,needs_domain_expert_review
MP0137,number,lifting_rigging,Di chuyển người báo hiệu 30 mét.,Move the signal person 30 meters.,Di chuyển người báo hiệu 50 mét.,Move the signal person 50 meters.,number;unit,True,needs_domain_expert_review
MP0138,number,heavy_equipment,Di chuyển máy ủi 10 mét.,Move the bulldozer 10 meters.,Di chuyển máy ủi 30 mét.,Move the bulldozer 30 meters.,number;unit,True,needs_domain_expert_review
MP0139,number,lifting_rigging,Di chuyển người báo hiệu 10 mi-li-mét.,Move the signal person 10 millimeters.,Di chuyển người báo hiệu 30 mi-li-mét.,Move the signal person 30 millimeters.,number;unit,True,needs_domain_expert_review
MP0140,number,heavy_equipment,Di chuyển xe lu 50 mi-li-mét.,Move the road roller 50 millimeters.,Di chuyển xe lu 200 mi-li-mét.,Move the road roller 200 millimeters.,number;unit,True,needs_domain_expert_review
MP0141,number,heavy_equipment,Di chuyển chốt an toàn 10 mi-li-mét.,Move the safety pin 10 millimeters.,Di chuyển chốt an toàn 200 mi-li-mét.,Move the safety pin 200 millimeters.,number;unit,True,needs_domain_expert_review
MP0142,number,heavy_equipment,Di chuyển gầu xúc 20 mi-li-mét.,Move the bucket 20 millimeters.,Di chuyển gầu xúc 50 mi-li-mét.,Move the bucket 50 millimeters.,number;unit,True,needs_domain_expert_review
MP0143,number,heavy_equipment,Di chuyển lưỡi ủi 10 mi-li-mét.,Move the dozer blade 10 millimeters.,Di chuyển lưỡi ủi 30 mi-li-mét.,Move the dozer blade 30 millimeters.,number;unit,True,needs_domain_expert_review
MP0144,number,lifting_rigging,Di chuyển cần cẩu 30 mét.,Move the crane 30 meters.,Di chuyển cần cẩu 50 mét.,Move the crane 50 meters.,number;unit,True,needs_domain_expert_review
MP0145,number,lifting_rigging,Di chuyển cáp thép 10 xen-ti-mét.,Move the wire rope 10 centimeters.,Di chuyển cáp thép 100 xen-ti-mét.,Move the wire rope 100 centimeters.,number;unit,True,needs_domain_expert_review
MP0146,number,heavy_equipment,Di chuyển điểm rửa bánh xe 100 mi-li-mét.,Move the wheel wash station 100 millimeters.,Di chuyển điểm rửa bánh xe 10 mi-li-mét.,Move the wheel wash station 10 millimeters.,number;unit,True,needs_domain_expert_review
MP0147,number,heavy_equipment,Di chuyển gầu xúc 20 xen-ti-mét.,Move the bucket 20 centimeters.,Di chuyển gầu xúc 200 xen-ti-mét.,Move the bucket 200 centimeters.,number;unit,True,needs_domain_expert_review
MP0148,number,lifting_rigging,Di chuyển cần cẩu 100 xen-ti-mét.,Move the crane 100 centimeters.,Di chuyển cần cẩu 30 xen-ti-mét.,Move the crane 30 centimeters.,number;unit,True,needs_domain_expert_review
